4054594232900858240 263.49993074  -32.63683813   0.9418   0.3205   1.9818   0.3926  -1.5735   0.2486  18.8223  20.3651  17.5882  15.6670  13.7850  13.0380  0.9590  0.5193  0.9828  0.5104 0  0.4697  1.3439   7.1487
4054594335994752256 263.14053947  -32.95427829   0.9343   0.0251   2.4563   0.0326  -1.5465   0.0215  14.6051  15.2256  13.8297  12.7830  12.3760  12.3050  1.0000  0.8966  0.9793  0.8781 1  0.0240  1.5049   7.0128
4054597909407966848 263.16373116  -32.79955490   0.9429   0.0580   2.1895   0.0748  -1.5667   0.0474  16.4841  17.3192  15.5591  14.2190  13.5950  14.1620  1.0000  0.6062  0.9793  0.5937 0  0.0757  1.4744   7.4719
4054598317409686912 263.23475286  -32.75159311   0.9438   0.1334   2.3032   0.1523  -1.9765   0.1002  17.8132  18.5875  16.7926      ...      ...      ...  0.9839  0.5469  0.9793  0.5355 0  0.4156  1.4707   7.1386
4054598321724567040 263.23476918  -32.75452463   0.8943   0.0232   2.5052   0.0270  -1.7753   0.0183  14.2783  14.8317  13.5384  12.5180  12.0030  11.8460  1.0000  1.0000  0.9897  0.9897 1  0.1839  1.6662   6.1509
4054599897958732416 263.03159759  -32.80646431   0.9211   0.1641   2.4338   0.2455  -1.4680   0.1534  18.2790  19.6548  17.0331      ...      ...      ...  0.9336  0.7080  0.9793  0.6933 1  0.8740  1.5570   6.6452
4054601311013302784 263.14899269  -32.72798647   0.9084   0.0728   2.5233   0.0887  -1.5334   0.0602  16.4368  17.0828  15.4571      ...      ...      ...  0.8560  0.8507  0.9897  0.8419 1  0.2028  1.6070   7.1260
4054601311022093952 263.14981046  -32.72794118   0.8922   0.0376   2.1330   0.0440  -1.8264   0.0303  15.5516  16.2856  14.6849      ...      ...      ...  1.0000  0.5390  0.9793  0.5279 0  0.4697  1.3439   7.1487
4054601993902864128 263.10893342  -32.72803678   0.8981   0.2599   2.0998   0.3466  -1.7039   0.2172  18.7447  20.0197  17.7329      ...      ...      ...  0.5571  0.5825  0.9793  0.5705 0  0.5782  1.6507   6.5240
4054603475670532608 263.31381902  -32.74110956   0.8893   0.4704   2.7775   0.6535  -1.6559   0.4008  19.3217  20.8270  18.0794      ...      ...      ...  0.5933  0.7868  0.9793  0.7705 1  0.6373  1.6874   6.4785
4054604128520346368 263.35834544  -32.67250078   0.9212   0.1219   2.6185   0.1340  -1.6065   0.0855  17.2163  18.6288  16.0624  14.1690  13.2980  12.6020  0.9785  0.9464  0.9862  0.9334 1  0.9295  1.5546   6.6538
4054606293183869952 263.44149439  -32.58870847   0.9547   0.0858   2.6106   0.1043  -1.7412   0.0744  16.8928  17.8028  15.6403      ...      ...      ...  1.0000  1.0000  0.9897  0.9897 1  0.6674  1.4298   7.2269
4054606464982566400 263.36651382  -32.63339784   0.8691   0.0930   2.4185   0.0837  -1.5706   0.0628  16.7334  17.7267  15.6032  13.8130  13.1270  12.8380  0.9980  0.8338  0.9793  0.8165 1  0.6113  1.7744   6.6848
4054607358335773824 263.41810368  -32.55298385   0.9791   0.0268   2.3319   0.0307  -1.7785   0.0218  14.5899  15.3129  13.7505  12.5600  11.8880  11.5930  1.0000  0.8206  0.9793  0.8037 1  0.4115  1.3490   7.0321
4054609415622769664 263.22337651  -32.57944095   0.9185   0.0291   2.4816   0.0322  -1.6369   0.0222  14.6772  15.3149  13.8891      ...      ...      ...  1.0000  0.9175  0.9793  0.8986 1  0.2622  1.5677   7.0261
